Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
hali,"sun / day (standalone: also see ""nit"")",Objects and Concept,Austronesian,,,,,,,,,,,,,,,,,
hali (ji) sikko,lunch,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
halimaw,tiger,Objects and Concept,Austronesian,,,,,harimau,harimau,,,,,,,,,,,
hang'at,warm; hot,Quality,Austronesian,,,,,hangat,hangat,,,,,,,,,,,
hangha,to drop; fall,Action,Sinitic,,,,降下,,,,,,,,,,,,,
han'gok,korea,Objects and Concept,Sinitic,,,,韓國,,,,,,,,,,,,,
han'gok'o,korean (language),Objects and Concept,Sinitic,,,,韓國語,,,,,,,,,,,,,
haon,spring,Objects and Concept,Koreo-Japonic,봄,はる,,,,,,,,,,,,,,,
hajeng,downstairs; lower class,Objects and Concept,Sinitic,,,,下層,,,,,,,,,,,,,
hatay,heart,Objects and Concept,Austronesian,,,,,,,,,,,,,,,,,
haw,like,Action,Sinitic,,,,好,,,,,,,,,,,,,
haw,good; pleasing,Quality,Sinitic,,,,好,,,,,,,,,,,,,
hayang,fast; quick; early,Quality,Koreo-Japonic,허영,はやく,,,,,,,,,,,,,,,
hayben,beach,Objects and Concept,Sinitic,,,,海邊,,,,,,,,,,,,,
hayyang,ocean,Objects and Concept,Sinitic,,,,海洋,,,,,,,,,,,,,
heksyek,black,Quality,Sinitic,,,,黑色,,,,,,,,,,,,,
hem,hate,Action,Sinitic,,,,嫌,,,,,,,,,,,,,
henday,modern,Quality,Sinitic,,,,現代,,,,,,,,,,,,,
heng,to do; to go,Action,Sinitic,,,,行,,,,,,,,,,,,,
heng-sap,action; verb,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
hengdey,brothers; siblings in general,Objects and Concept,Sinitic,,,,兄弟,,,,,,,,,,,,,
hengdong,action; move; behavior,Objects and Concept,Sinitic,,,,行動,,,,,,,,,,,,,
heng,older brother,Objects and Concept,Sinitic,,,,兄兄,,,,,,,,,,,,,
heng,shape,Objects and Concept,Sinitic,,,,形態,,,,,,,,,,,,,
hengtay,reality,Objects and Concept,Sinitic,,,,現實,,,,,,,,,,,,,
heta'e,down; below; under,Quality,Koreo-Japonic,밑,した,,,,,,,,,,,,,,,
hi,causative verb marker; where the subject causes the indirect object to perform the action to the direct object,Particle,Koreo-Japonic,C+이,され,,,,,,,,,,,,,,,
hidong,nose,Objects and Concept,Austronesian,,,,,idung,,,hilong,,,,,,,,,
hima,snow,Objects and Concept,Sanskrit,,,हिम (himá),,,,,,,,,,,,,,
hensit,hope,Action,Sinitic,,,,希望,,,,,,,,,,,,,
hing,white,Quality,Koreo-Japonic,하얀,しろ,,,,,,,,,,,,,,,
hing bawang,onions,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
ho,call,Action,Sinitic,,,,呼,,,,,,,,,,,,,
hojaw,pond; swamp,Objects and Concept,Sinitic,,,,湖沼,,,,,,,,,,,,,
hohip,breathe; breath,Action,Sinitic,,,,呼吸,,,,,,,,,,,,,
hok,or; (alternative clause conjunction),Particle,Sinitic,,,,或,,,,,,,,,,,,,
holanda,Holland; The Netherlands,Objects and Concept,Western: Dutch,,,,,,,,,,,,,,,,,
holi,ice,Objects and Concept,Koreo-Japonic,얼음,こおり,,,,,,,,,,,,,,,
holi ujan,hail,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
hongsyek,red,Quality,Sinitic,,,,紅色,,,,,,,,,,,,,
honi,sheep; goat,Objects and Concept,Altaic,,,,,,,,,,,,,,,,хонь,
honlwan,chaos,Objects and Concept,Sinitic,,,,混亂,,,,,,,,,,,,,
howhway,regret,Action,Sinitic,,,,後悔,,,,,,,,,,,,,
hoytak,snail/slug,Objects and Concept,Austroasiatic,,,,,,,,,,ຫອຍ+ທາກ,หอยทาก,,,,,,
hoyul,winter,Objects and Concept,Koreo-Japonic,여울,ふゆ,,,,,,,,,,,,,,,
huca,grass,Objects and Concept,Koreo-Japonic,풀,くさ,,,,,,,,,,,,,,,
hujan,rain,Objects and Concept,Austronesian,,,,,hujan,hujan,,,,,,,,,,,
